PEType,bytes_on_last_page,max_extra_paragraphs,init_sp_value,SizeofStackReserve,LoaderFlags,text_PointerToRelocations,registry_read,registry_write,registry_delete,network_dns,network_http,network_connections,processes_suspicious,processes_monitored,total_procsses,files_malicious,files_suspicious,files_text,files_unknown,dlls_calls,apis,Malware
PE32+,0x0090,0xFFFF,0x00B8,0x0000000000100000,0x00000000,0x00000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,162.0,0
PE32+,0x0090,0xFFFF,0x00B8,0x0000000000100000,0x00000000,0x00000000,5.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,93.0,0.0,0.0,0.0,0.0,22.0,778.0,0
PE32,0x0090,0xFFFF,0x00B8,0x00100000,0x00000000,0x00000000,58.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,0.0,0.0,0.0,0.0,1.0,1.0,0
PE32+,0x0090,0xFFFF,0x008B,0x0000000000200000,0x00000000,0x00000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.0,0
PE32,0x0090,0xFFFF,0x00B8,0x00100000,0x00000000,0x00000000,253.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.0,0.0,0.0,0.0,0.0,1.0,1.0,0
PE32,0x0090,0xFFFF,0x00B8,0x00100000,0x00000000,0x00000000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,0.0,0.0,0.0,0.0,1.0,1.0,0
PE32,0x0090,0xFFFF,0x00B8,0x00100000,0x00000000,0x00000000,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,0.0,0.0,0.0,0.0,15.0,206.0,0
PE32,0x0080,0xFFFF,0x00B8,0x00010000,0x00000000,0x00000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
PE32,0x0090,0xFFFF,0x00B8,0x00100000,0x00000000,0x00000000,244.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,35.0,0.0,0.0,0.0,0.0,6.0,117.0,0
PE32,0x0090,0xFFFF,0x00B8,0x00100000,0x00000000,0x00000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,0.0,0.0,0.0,0.0,2.0,64.0,0
PE32+,0x0090,0xFFFF,0x00B8,0x0000000000200000,0x00000000,0x00000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0
PE32,0x0090,0xFFFF,0x00B8,0x00400000,0x00000000,0x00000000,295.0,13.0,0.0,4.0,1.0,3.0,0.0,1.0,38.0,0.0,0.0,0.0,0.0,18.0,527.0,0
PE32,0x0090,0xFFFF,0x00B8,0x00100000,0x00000000,0x00000000,142.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,0.0,0.0,0.0,0.0,1.0,1.0,0
PE32,0x0090,0xFFFF,0x00B8,0x00040000,0x00000000,0x00000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
PE32+,0x0090,0xFFFF,0x00B8,0x0000000000100000,0x00000000,0x00000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,436.0,0
PE32,0x0090,0xFFFF,0x00B8,0x00100000,0x00000000,0x00000000,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0,0.0,0.0,0.0,0.0,13.0,87.0,0
PE32,0x0090,0xFFFF,0x00B8,0x00100000,0x00000000,0x00000000,499.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,39.0,0.0,0.0,0.0,0.0,1.0,1.0,0
PE32+,0x0090,0xFFFF,0x00B8,0x0000000000200000,0x00000000,0x00000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,43.0,0
PE32+,0x0090,0xFFFF,0x00B8,0x0000000000100000,0x00000000,0x00000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,0
PE32+,0x0090,0xFFFF,0x00B8,0x0000000000100000,0x00000000,0x00000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
PE32,0x0090,0xFFFF,0x00B8,0x00100000,0x00000000,0x00000000,409.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,34.0,0.0,1.0,1.0,0.0,1.0,148.0,0
PE32+,0x0090,0xFFFF,0x00B8,0x0000000000100000,0x00000000,0x00000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,145.0,0
PE32+,0x0090,0xFFFF,0x00B8,0x0000000000100000,0x00000000,0x00000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,104.0,0
PE32,0x0090,0xFFFF,0x00B8,0x00100000,0x00000000,0x00000000,46.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,0.0,0.0,0.0,0.0,1.0,1.0,0
PE32+,0x0090,0xFFFF,0x00B8,0x0000000000100000,0x00000000,0x00000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,66.0,0
PE32+,0x0090,0xFFFF,0x00B8,0x0000000000100000,0x00000000,0x00000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,132.0,0
PE32,0x0040,0xFFFF,0x00B8,0x00100000,0x00000000,0x00000000,187.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,0.0,0.0,0.0,0.0,1.0,1.0,0
PE32,0x0090,0xFFFF,0x00B8,0x00100000,0x00000000,0x00000000,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,0.0,0.0,1.0,0.0,3.0,83.0,0
PE32+,0x0090,0xFFFF,0x00B8,0x0000000000100000,0x00000000,0x00000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,662.0,0
PE32,0x0090,0xFFFF,0x00B8,0x00100000,0x00000000,0x00000000,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,0.0,0.0,0.0,0.0,2.0,71.0,0
PE32,0x0090,0xFFFF,0x00B8,0x00100000,0x00000000,0x00000000,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,0.0,0.0,0.0,0.0,1.0,1.0,0
PE32,0x0090,0xFFFF,0x00B8,0x00100000,0x00000000,0x00000000,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,0.0,0.0,0.0,0.0,1.0,1.0,0
PE32,0x0090,0xFFFF,0x00B8,0x00200000,0x00000000,0x00000000,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,0.0,0.0,0.0,0.0,3.0,74.0,0
PE32+,0x0090,0xFFFF,0x00B8,0x0000000000400000,0x00000000,0x00000000,0.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,16.0,0
PE32,0x0090,0xFFFF,0x00B8,0x00100000,0x00000000,0x00000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,37.0,0.0,0.0,0.0,0.0,18.0,650.0,0
PE32,0x0090,0xFFFF,0x00B8,0x00100000,0x00000000,0x00000000,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0,0.0,0.0,0.0,0.0,1.0,1.0,0
PE32+,0x0090,0xFFFF,0x008B,0x0000000000200000,0x00000000,0x00000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.0,0
PE32,0x0050,0xFFFF,0x00B8,0x00200000,0x00000000,0x00000000,104.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,38.0,0.0,0.0,0.0,0.0,14.0,17.0,0
PE32,0x0090,0xFFFF,0x00B8,0x00400000,0x00000000,0x00000000,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,0.0,0.0,0.0,0.0,13.0,419.0,0
PE32,0x0050,0xFFFF,0x00B8,0x00100000,0x00000000,0x00000000,47.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,37.0,0.0,0.0,0.0,0.0,5.0,39.0,0
