Developer,Publisher,Genres,Product Rating,User Ratings Count,Best-seller,year
Piranha Bytes,Aspyr,Western RPG,Rated T For Teen,832.0,1,2006
Neversoft Entertainment,RedOctane,Rhythm,Rated T For Teen,144.0,1,2007
10tons,10tons,Vertical Shoot-'Em-Up,Rated E +10 For Everyone +10,6.0,0,2016
Maxis,EA Games,Virtual Life,Rated T For Teen,20.0,1,2000
Relic Entertainment,THQ,Third Person Shooter,Rated M For Mature,259.0,1,2011
Double Helix Games,LucasArts,Action Adventure,Rated T For Teen,27.0,1,2005
Volition Inc.,Deep Silver,Open-World Action,Rated M For Mature,1997.0,0,2013
Inevitable Entertainment,Sierra Entertainment,Action Adventure,Rated E For Everyone,18.0,1,2003
PixelNAUTS,PixelNAUTS,2D Platformer,Rated T For Teen,23.0,0,2015
Constantin Graf,Constantin Graf,JRPG,Rated E +10 For Everyone +10,6.0,0,2016
Westwood Studios,Electronic Arts,Command RTS,Rated T For Teen,269.0,1,2001
Q Entertainment,Ubisoft,Matching Puzzle,Rated E +10 For Everyone +10,47.0,1,2005
From Software,Agetec,Vehicle Combat Sim,Rated T For Teen,21.0,1,2002
Indie Built,Microsoft Game Studios,Skiing,Rated E For Everyone,9.0,1,2003
Kerberos Productions,Paradox Interactive,Strategy,Rated T For Teen,134.0,0,2011
Angel Matrix,Annapurna Interactive,FPS,Rated T For Teen,190.0,1,2022
Arc System Works,Aksys Games,2D Fighting,Rated T For Teen,102.0,1,2012
Zeboyd Games,Limited Run Games,JRPG,Rated T For Teen,33.0,0,2018
Skybound Games,Skybound Games,Survival,Rated M For Mature,11.0,0,2023
Milestone S.r.l,Bandai Namco Games,Arcade Racing,Rated E For Everyone,14.0,0,2014
NetherRealm Studios,Warner Bros. Interactive Entertainment,2D Fighting,Rated M For Mature,672.0,1,2016
Capcom,Capcom,Survival,Rated M For Mature,27.0,1,2010
Ubisoft Romania,Ubisoft,Marine Combat Sim,Rated T For Teen,46.0,0,2010
Digital Works Entertainment,Namco Bandai Games,2D Beat-'Em-Up,Rated E +10 For Everyone +10,12.0,0,2013
Yuke's,2K Games,Wrestling,Rated T For Teen,128.0,1,2013
High Impact Games,SCEA,3D Platformer,Rated E +10 For Everyone +10,191.0,1,2007
EnjoyUp Games,EnjoyUp Games,Action RPG,Rated T For Teen,58.0,1,2014
EA LA,EA Games,Real-Time Strategy,Rated T For Teen,129.0,1,2006
Sony Interactive Entertainment,Sony Interactive Entertainment,Baseball Sim,Rated E For Everyone,103.0,0,2018
InXile Entertainment,InXile Entertainment,Adventure,Rated T For Teen,12.0,1,2017
CD Projekt Red Studio,CD Projekt,Action RPG,Rated M For Mature,4208.0,1,2016
Gaming Minds Studios,Kalypso,Management,Rated E +10 For Everyone +10,17.0,0,2020
Ubisoft,Ubisoft,Dancing,Rated E For Everyone,15.0,0,2023
Techland,Warner Bros. Interactive Entertainment,Survival,Rated M For Mature,2143.0,1,2015
Pivotal Games,Gotham Games,Tactical Third Person Shooter,Rated T For Teen,6.0,1,2003
Namco Bandai Games,Namco Bandai Games,Sports,Rated E For Everyone,7.0,0,2011
Ubisoft Montreal,Ubisoft,FPS,Rated M For Mature,413.0,1,2013
Konami,Konami,Card Battle,Rated E For Everyone,20.0,0,2007
Valve Software,Valve Software,Tactical FPS,Rated M For Mature,1352.0,1,2004
Vertex Pop,Vertex Pop,2D Platformer,Rated E +10 For Everyone +10,13.0,1,2020
Microsoft Game Studios,Microsoft Game Studios,Space Combat Sim,Rated E For Everyone,18.0,0,2000
EA Games,EA Games,Action Adventure,Rated E For Everyone,62.0,1,2004
Square Enix,Square Enix,JRPG,Rated E +10 For Everyone +10,411.0,1,2016
LucasArts,LucasArts,Third Person Shooter,Rated T For Teen,43.0,1,2002
Valve Software,Sierra Entertainment,FPS,Rated M For Mature,4847.0,1,1998
Rekim,Adult Swim,Action Adventure,Rated E +10 For Everyone +10,14.0,0,2018
PopCap,PopCap,Matching Puzzle,Rated E For Everyone,14.0,1,2008
Naughty Dog,SCEA,3D Platformer,Rated T For Teen,454.0,1,2003
Honey Parade Games,XSEED Games,Adventure,Rated M For Mature,49.0,1,2018
1C Entertainment,Paradox Interactive,Strategy,Rated T For Teen,10.0,0,2010
Teyon,Teyon,Arcade,Rated E For Everyone,19.0,0,2012
Mastiff,Mastiff,FPS,Rated T For Teen,10.0,0,2018
Sanzaru Games,Disney Interactive Studios,3D Platformer,Rated E +10 For Everyone +10,22.0,0,2016
Daydream Software,DreamCatcher Interactive,Adventure,Rated E For Everyone,5.0,0,2000
Capcom,Capcom,Survival,Rated M For Mature,577.0,1,2012
Cyberlore Studios,Microsoft Game Studios,Vehicle Combat Sim,Rated T For Teen,8.0,0,2001
Frontier Developments,Bam Entertainment,3D Platformer,Rated E For Everyone,39.0,0,2003
Ritual Entertainment,Activision,FPS,Rated T For Teen,40.0,1,2003
Bandai Namco Games,Bandai Namco Games,Action RPG,Rated T For Teen,23.0,0,2023
Nintendo,Nintendo,2D Fighting,Rated E +10 For Everyone +10,4133.0,1,2018
Maxis,EA Games,Virtual Life,Rated T For Teen,35.0,0,2005
New World Interactive,Focus Home Interactive,Tactical FPS,Rated M For Mature,250.0,1,2018
Level 5,Nintendo,Trainer RPG,Rated E +10 For Everyone +10,220.0,1,2015
Microsoft Game Studios,Microsoft Game Studios,Strategy,Rated T For Teen,33.0,1,2001
Piccolo,Private Division,Action Adventure,Rated T For Teen,31.0,0,2023
Square Enix,Square Enix,JRPG,Rated T For Teen,16.0,0,2019
